domain,location,county,lat,lon,latest_date,official_status,risk_violation_prob,priority_score,suggested_action,review_note
veevark,Flexa Eesti AS Viru-Nigula tehase veevärk,,58.95301843080017,25.065101145239318,2022-10-26T10:40:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Greete Motelli veevärk,,59.06271787040092,25.51555763883798,2022-10-17T09:38:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,HKScan Estonia Rakvere Lihakombinaadi veevärk,,58.27515846733484,25.599674376161477,2021-12-14T00:00:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Haage Joogid veevärk,,58.438521617449034,24.160513465086858,2021-10-19T12:24:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Haljala Maheda veevärk,,58.24384725474579,22.040935215241976,2021-09-14T11:20:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Häädemeeste keskuse veevärk,,59.252157350508455,23.587098061472023,2023-08-17T10:05:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Ilmatsalu aleviku ühisveevärk,,59.37322952167811,21.818226370116985,2022-05-11T00:00:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Jeld-Wen Eesti AS tehase veevärk,,59.6495606531615,26.029510839172698,2023-11-02T12:30:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Jokri talu veevärk,,58.88068020108863,24.59207371654329,2021-05-04T10:10:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Juulamõisa veevärk,,57.92913325423672,24.0497497226181,2021-11-09T00:00:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Järva-Jaani meierei veevärk,,59.46367515258268,25.88209296831116,2023-12-04T00:00:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Jõgisoo elamute ühisveevärk,,58.94588213431012,23.701326146861646,2023-05-30T00:00:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Kaatri Puhkemaja veevärk,,58.33563346070285,23.70743956772068,2021-12-15T10:42:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Kadrina küla kalatööstuse veevärk,,57.8134191219797,25.629785842164804,2021-06-09T11:26:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,"Kalma külalistemaja veevärk, Kalma kohvik Õige koht",,58.783625109594446,26.60817514834438,2023-06-12T12:05:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Kalvi Mõisa veevärk,,59.38942978809746,27.95120905253964,2021-04-13T12:30:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
veevark,Karaski Pansionaadi ühisveevärk,,58.203607550883596,26.667326968985666,2025-06-03T00:00:00,,,44,set_manual,approximate_ee -> проверить в Google Maps и при необходимости выставить точку вручную
