sample_id,domain,location,location_key,county,sample_date,compliant,bucket,norms_violation,violated_params,unmeasured_norm_params,n_measured_norm_params
233439,basseinid,Saku Valla l/a Päikesekild,saku valla l/a päikesekild,,2021-01-05 00:00:00,1,hidden_pass,True,turbidity,e_coli|enterococci|nitrites|fluoride|manganese|iron|chlorides|sulfates|staphylococci|pseudomonas|coliforms,7
233353,basseinid,Tamme Kooli ujula bassein,tamme kooli ujula bassein,,2021-01-04 13:19:00,1,hidden_pass,True,turbidity,e_coli|nitrites|fluoride|manganese|iron|chlorides|sulfates,11
233410,basseinid,Lääne-Tallinna Keskhaigla Perekeskuse bassein,lääne tallinna keskhaigla perekeskuse bassein,,2021-01-04 00:00:00,1,hidden_pass,True,turbidity,e_coli|enterococci|nitrites|fluoride|manganese|iron|chlorides|sulfates|staphylococci|pseudomonas|coliforms,7
233442,basseinid,Lääne-Tallinna Keskhaigla Perekeskuse bassein,lääne tallinna keskhaigla perekeskuse bassein,,2021-01-04 00:00:00,0,hidden_violation,False,,e_coli|nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|free_chlorine|combined_chlorine|ph,4
382318,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2026-03-10 00:00:00,1,hidden_pass,True,iron|color,e_coli|enterococci|nitrites|fluoride|manganese|chlorides|sulfates|coliforms,6
367883,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2025-09-02 00:00:00,1,hidden_pass,True,iron|turbidity|color,e_coli|enterococci|nitrites|fluoride|manganese|chlorides|sulfates|coliforms,6
360428,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2025-05-20 00:00:00,1,hidden_pass,True,iron|color,e_coli|enterococci|nitrites|fluoride|manganese|coliforms,8
354049,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2025-03-04 00:00:00,1,hidden_pass,True,color,e_coli|enterococci|nitrites|fluoride|manganese|chlorides|sulfates|coliforms,6
349914,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2025-01-07 00:00:00,1,hidden_pass,True,color,e_coli|enterococci|nitrites|fluoride|manganese|coliforms,8
350903,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2025-01-07 00:00:00,1,hidden_pass,True,coliforms,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,3
349557,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-12-30 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349556,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-12-23 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349555,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-12-16 00:00:00,1,hidden_pass,True,manganese|coliforms,nitrites|color,12
